parameter,state,target,P(低)_base,P(低)_test,ΔP(低),P(中)_base,P(中)_test,ΔP(中),P(高)_base,P(高)_test,ΔP(高),avg_|ΔP|
降水强度,低,内涝风险,,,,,,,0.7304,0.6628,-0.0676,0.0676
降水强度,高,内涝风险,,,,,,,0.7304,0.792,0.0616,0.0616
降水强度,低,内涝风险,0.0873,0.1255,0.0382,,,,,,,0.0382
历史排水时间,慢,内涝风险,,,,,,,0.7304,0.7655,0.0351,0.0351
历史排水时间,快,内涝风险,,,,,,,0.7304,0.6954,-0.035,0.035
降水强度,高,内涝风险,0.0873,0.0525,-0.0348,,,,,,,0.0348
前期土壤含水量,低,内涝风险,,,,,,,0.7304,0.7005,-0.0299,0.0299
降水强度,低,内涝风险,,,,0.1822,0.2117,0.0295,,,,0.0295
海拔,高,内涝风险,,,,,,,0.7304,0.7591,0.0287,0.0287
海拔,低,内涝风险,,,,,,,0.7304,0.7018,-0.0286,0.0286
前期土壤含水量,高,内涝风险,,,,,,,0.7304,0.7584,0.028,0.028
降水强度,高,内涝风险,,,,0.1822,0.1555,-0.0267,,,,0.0267
下垫面硬化率,低,内涝风险,,,,,,,0.7304,0.7077,-0.0227,0.0227
管网排水能力,弱,内涝风险,,,,,,,0.7304,0.7521,0.0217,0.0217
径流系数,大,内涝风险,,,,,,,0.7304,0.7521,0.0217,0.0217
管网排水能力,强,内涝风险,,,,,,,0.7304,0.7088,-0.0216,0.0216
径流系数,小,内涝风险,,,,,,,0.7304,0.7088,-0.0216,0.0216
下垫面硬化率,高,内涝风险,,,,,,,0.7304,0.7512,0.0208,0.0208
历史排水时间,慢,内涝风险,0.0873,0.0673,-0.02,,,,,,,0.02
历史排水时间,快,内涝风险,0.0873,0.1073,0.02,,,,,,,0.02
前期土壤含水量,低,内涝风险,0.0873,0.1046,0.0173,,,,,,,0.0173
降水时长,长,内涝风险,,,,,,,0.7304,0.7471,0.0167,0.0167
降水时长,短,内涝风险,,,,,,,0.7304,0.7138,-0.0166,0.0166
海拔,低,内涝风险,0.0873,0.1037,0.0164,,,,,,,0.0164
海拔,高,内涝风险,0.0873,0.0709,-0.0164,,,,,,,0.0164
前期土壤含水量,高,内涝风险,0.0873,0.0713,-0.016,,,,,,,0.016
历史排水时间,快,内涝风险,,,,0.1822,0.1973,0.0151,,,,0.0151
历史排水时间,慢,内涝风险,,,,0.1822,0.1672,-0.015,,,,0.015
下垫面硬化率,低,内涝风险,0.0873,0.1005,0.0132,,,,,,,0.0132
前期土壤含水量,低,内涝风险,,,,0.1822,0.1949,0.0127,,,,0.0127
风力,强,内涝风险,,,,,,,0.7304,0.743,0.0126,0.0126
风力,弱,内涝风险,,,,,,,0.7304,0.7179,-0.0125,0.0125
径流系数,大,内涝风险,0.0873,0.0749,-0.0124,,,,,,,0.0124
径流系数,小,内涝风险,0.0873,0.0997,0.0124,,,,,,,0.0124
管网排水能力,弱,内涝风险,0.0873,0.0749,-0.0124,,,,,,,0.0124
管网排水能力,强,内涝风险,0.0873,0.0997,0.0124,,,,,,,0.0124
海拔,低,内涝风险,,,,0.1822,0.1945,0.0123,,,,0.0123
海拔,高,内涝风险,,,,0.1822,0.17,-0.0122,,,,0.0122
前期土壤含水量,高,内涝风险,,,,0.1822,0.1703,-0.0119,,,,0.0119
下垫面硬化率,高,内涝风险,0.0873,0.0754,-0.0119,,,,,,,0.0119
气压,偏低,内涝风险,,,,,,,0.7304,0.7405,0.0101,0.0101
气压,正常,内涝风险,,,,,,,0.7304,0.7204,-0.01,0.01
下垫面硬化率,低,内涝风险,,,,0.1822,0.1918,0.0096,,,,0.0096
降水时长,长,内涝风险,0.0873,0.0779,-0.0094,,,,,,,0.0094
降水时长,短,内涝风险,0.0873,0.0967,0.0094,,,,,,,0.0094
径流系数,小,内涝风险,,,,0.1822,0.1914,0.0092,,,,0.0092
管网排水能力,强,内涝风险,,,,0.1822,0.1914,0.0092,,,,0.0092
管网排水能力,弱,内涝风险,,,,0.1822,0.1731,-0.0091,,,,0.0091
径流系数,大,内涝风险,,,,0.1822,0.1731,-0.0091,,,,0.0091
下垫面硬化率,高,内涝风险,,,,0.1822,0.1734,-0.0088,,,,0.0088
风向,向岸,内涝风险,,,,,,,0.7304,0.7388,0.0084,0.0084
风向,离岸,内涝风险,,,,,,,0.7304,0.7221,-0.0083,0.0083
降水时长,短,内涝风险,,,,0.1822,0.1895,0.0073,,,,0.0073
降水时长,长,内涝风险,,,,0.1822,0.175,-0.0072,,,,0.0072
风力,强,内涝风险,0.0873,0.0802,-0.0071,,,,,,,0.0071
风力,弱,内涝风险,0.0873,0.0944,0.0071,,,,,,,0.0071
湿度,湿润,内涝风险,,,,,,,0.7304,0.7371,0.0067,0.0067
湿度,干燥,内涝风险,,,,,,,0.7304,0.7238,-0.0066,0.0066
降水强度,中,内涝风险,,,,,,,0.7304,0.7365,0.0061,0.0061
气压,正常,内涝风险,0.0873,0.093,0.0057,,,,,,,0.0057
气压,偏低,内涝风险,0.0873,0.0816,-0.0057,,,,,,,0.0057
风力,弱,内涝风险,,,,0.1822,0.1877,0.0055,,,,0.0055
风力,强,内涝风险,,,,0.1822,0.1768,-0.0054,,,,0.0054
风向,向岸,内涝风险,0.0873,0.0826,-0.0047,,,,,,,0.0047
风向,离岸,内涝风险,0.0873,0.092,0.0047,,,,,,,0.0047
气压,正常,内涝风险,,,,0.1822,0.1866,0.0044,,,,0.0044
气压,偏低,内涝风险,,,,0.1822,0.1779,-0.0043,,,,0.0043
湿度,湿润,内涝风险,0.0873,0.0835,-0.0038,,,,,,,0.0038
湿度,干燥,内涝风险,0.0873,0.0911,0.0038,,,,,,,0.0038
风向,离岸,内涝风险,,,,0.1822,0.1859,0.0037,,,,0.0037
风向,向岸,内涝风险,,,,0.1822,0.1786,-0.0036,,,,0.0036
降水强度,中,内涝风险,0.0873,0.0839,-0.0034,,,,,,,0.0034
