parameter,state,target,P(低)_base,P(低)_test,ΔP(低),P(中)_base,P(中)_test,ΔP(中),P(高)_base,P(高)_test,ΔP(高),avg_|ΔP|
湿度,干燥,内涝风险,,,,0.1822,0.1852,0.003,,,,0.003
湿度,湿润,内涝风险,,,,0.1822,0.1793,-0.0029,,,,0.0029
降水强度,中,内涝风险,,,,0.1822,0.1796,-0.0026,,,,0.0026
前期土壤含水量,中,内涝风险,,,,,,,0.7304,0.7324,0.002,0.002
下垫面硬化率,中,内涝风险,,,,,,,0.7304,0.7324,0.002,0.002
前期土壤含水量,中,内涝风险,0.0873,0.086,-0.0013,,,,,,,0.0013
下垫面硬化率,中,内涝风险,0.0873,0.0861,-0.0012,,,,,,,0.0012
前期土壤含水量,中,内涝风险,,,,0.1822,0.1815,-0.0007,,,,0.0007
下垫面硬化率,中,内涝风险,,,,0.1822,0.1815,-0.0007,,,,0.0007
坡度,缓,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
坡度,缓,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
坡度,陡,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
坡度,缓,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
岩性,坚硬,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
土壤渗透性,差,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
土壤渗透性,差,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
土壤渗透性,差,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
土壤渗透性,好,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
土壤渗透性,好,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
土壤渗透性,好,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
植被覆盖,差,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
植被覆盖,差,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
植被覆盖,差,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
植被覆盖,好,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
植被覆盖,好,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
植被覆盖,好,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
坡向,阳坡,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
坡向,阳坡,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
坡向,阳坡,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
坡向,阴坡,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
坡向,阴坡,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
坡向,阴坡,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
坡度,陡,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
坡度,陡,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
距断层距离,近,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
距断层距离,近,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
距断层距离,近,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
岩性,坚硬,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
岩性,软弱,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
岩性,坚硬,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
岩性,软弱,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
岩性,软弱,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
距断层距离,远,内涝风险,0.0873,0.0873,0.0,,,,,,,0.0
距断层距离,远,内涝风险,,,,0.1822,0.1822,0.0,,,,0.0
距断层距离,远,内涝风险,,,,,,,0.7304,0.7304,0.0,0.0
