parameter,state,target,P(低)_base,P(低)_test,ΔP(低),P(中)_base,P(中)_test,ΔP(中),P(高)_base,P(高)_test,ΔP(高),avg_|ΔP|
建筑密度,高,内涝风险,,,,,,,0.5004,0.5048,0.0044,0.0044
气压,正常,内涝风险,,,,,,,0.5004,0.496,-0.0044,0.0044
下垫面硬化率,低,内涝风险,0.2193,0.2236,0.0043,,,,,,,0.0043
气温,高温,内涝风险,,,,,,,0.5004,0.5044,0.004,0.004
绿地率,高,内涝风险,0.2193,0.2233,0.004,,,,,,,0.004
气温,低温,内涝风险,,,,,,,0.5004,0.4965,-0.0039,0.0039
道路积水历史频率,低,内涝风险,,,,0.2802,0.2841,0.0039,,,,0.0039
绿地率,低,内涝风险,0.2193,0.2154,-0.0039,,,,,,,0.0039
应急排水能力,弱,内涝风险,,,,0.2802,0.2764,-0.0038,,,,0.0038
湿度,湿润,内涝风险,,,,,,,0.5004,0.5042,0.0038,0.0038
风向,向岸,内涝风险,,,,,,,0.5004,0.5042,0.0038,0.0038
应急排水能力,强,内涝风险,,,,0.2802,0.284,0.0038,,,,0.0038
湿度,干燥,内涝风险,,,,,,,0.5004,0.4967,-0.0037,0.0037
前期土壤含水量,低,内涝风险,,,,0.2802,0.2839,0.0037,,,,0.0037
对流有效位能CAPE,低,内涝风险,0.2193,0.223,0.0037,,,,,,,0.0037
前期土壤含水量,高,内涝风险,,,,0.2802,0.2765,-0.0037,,,,0.0037
地下水埋深,深,内涝风险,0.2193,0.223,0.0037,,,,,,,0.0037
道路积水历史频率,高,内涝风险,,,,0.2802,0.2765,-0.0037,,,,0.0037
风力,弱,内涝风险,0.2193,0.223,0.0037,,,,,,,0.0037
下垫面硬化率,高,内涝风险,0.2193,0.2156,-0.0037,,,,,,,0.0037
风向,离岸,内涝风险,,,,,,,0.5004,0.4967,-0.0037,0.0037
地下水埋深,浅,内涝风险,0.2193,0.2157,-0.0036,,,,,,,0.0036
对流有效位能CAPE,高,内涝风险,0.2193,0.2157,-0.0036,,,,,,,0.0036
风力,强,内涝风险,0.2193,0.2157,-0.0036,,,,,,,0.0036
河道水位,正常,内涝风险,,,,0.2802,0.2836,0.0034,,,,0.0034
潮汐影响,无,内涝风险,0.2193,0.2226,0.0033,,,,,,,0.0033
河道水位,危险,内涝风险,,,,0.2802,0.277,-0.0032,,,,0.0032
湖泊调蓄能力,强,内涝风险,0.2193,0.2224,0.0031,,,,,,,0.0031
降水时长,短,内涝风险,,,,0.2802,0.2832,0.003,,,,0.003
湖泊调蓄能力,弱,内涝风险,0.2193,0.2163,-0.003,,,,,,,0.003
建筑密度,低,内涝风险,0.2193,0.2223,0.003,,,,,,,0.003
降水时长,长,内涝风险,,,,0.2802,0.2773,-0.0029,,,,0.0029
气压,正常,内涝风险,0.2193,0.2221,0.0028,,,,,,,0.0028
潮汐影响,大,内涝风险,0.2193,0.2165,-0.0028,,,,,,,0.0028
径流系数,小,内涝风险,,,,0.2802,0.283,0.0028,,,,0.0028
径流系数,大,内涝风险,,,,0.2802,0.2775,-0.0027,,,,0.0027
下垫面硬化率,低,内涝风险,,,,0.2802,0.2829,0.0027,,,,0.0027
气压,偏低,内涝风险,0.2193,0.2166,-0.0027,,,,,,,0.0027
建筑密度,高,内涝风险,0.2193,0.2167,-0.0026,,,,,,,0.0026
气温,低温,内涝风险,0.2193,0.2218,0.0025,,,,,,,0.0025
绿地率,高,内涝风险,,,,0.2802,0.2827,0.0025,,,,0.0025
绿地率,低,内涝风险,,,,0.2802,0.2777,-0.0025,,,,0.0025
对流有效位能CAPE,低,内涝风险,,,,0.2802,0.2826,0.0024,,,,0.0024
风力,弱,内涝风险,,,,0.2802,0.2826,0.0024,,,,0.0024
