ORIG_FID,Flood_Sum,Aspect_Mea,Dem_Mean,Dem_Std,Slope_Mean,Impervious,WaterBody_,WorldPop_M,evp2021,pre2021,prs2021,rhu2021,Light_N,HenanPr,rain0715,rain0716,rain0717,rain0718,rain0719,rain0720,rain0721,rain0722,rain0723,rain0724,rain0725,Join_Count,FloodArea,Label,newLabel
29822,25,244.5130005,412.9249878,6.0514798,2.6167099,1003,0,6.42629,1242.170044,1320.380005,970.6690063,60.1339989,1.14842,100.3799973,0,0,0,0,71.9937973,100.3799973,48.7178001,0,0,0,0,0,#N/A,,
29823,67,240.9940033,425.7359924,5.5819802,2.3099301,966,0,6.88517,1242.550049,1326.810059,970.0819702,60.1425018,1.10719,99.2562027,0,0,0,0,73.138298,99.2562027,48.7552986,0,0,0,0,0,#N/A,,
29824,861,222.4450073,292.2340088,7.1212201,3.42995,859,0,14.6626997,1237.390015,1224.640015,980.1270142,60.0503998,1.58481,112.086998,0,0,0,0,61.9868011,112.086998,48.3112984,0,0,0,0,0,861,,
29825,1283,223.8049927,286.3680115,9.4711599,4.5402598,1138,0,22.4824009,1238.01001,1231.079956,979.6640015,60.0446014,1.49023,111.612999,0,0,0,0,62.1609001,111.612999,48.3297997,0,0,0,0,0,1283,,
29826,121,182.6829987,299.4899902,4.2234702,1.88381,1691,0,23.3311005,1238.569946,1237.630005,979.1519775,60.0405998,1.26344,111.1389999,0,0,0,0,62.3348999,111.1389999,48.3482018,0,0,0,0,0,121,,
29827,138,189.529007,310.9530029,5.3770499,2.26632,2313,0,23.9407005,1238.479981,1245.449951,978.0609741,60.0586014,1.15931,110.6650009,0,0,0,0,62.5088997,110.6650009,48.3666992,0,0,0,0,0,138,,
29828,55,171.7949982,325.2340088,16.3617001,8.9526596,1038,0,11.4279003,1238.48999,1253.079956,977.0560303,60.0736008,1.1109999,110.1910019,0,0,0,0,62.6828995,110.1910019,48.3851013,0,0,0,0,0,55,,
29829,410,201.3419952,338.1950073,9.9993496,5.70714,1063,0,4.7301798,1239.599976,1258.459961,977.0650024,60.0536003,1.0592,109.7170029,0,0,0,0,62.8568993,109.7170029,48.4035988,0,0,0,0,0,410,,
29830,118,182.7230072,322.1289978,8.5218,5.5166101,2300,0,4.0025001,1240.52002,1264.219971,976.9030151,60.0397987,0.966273,109.2429962,0,0,0,0,63.030899,109.2429962,48.4220009,0,0,0,0,0,118,,
29831,15,141.6390076,330.4070129,9.7016497,5.6085701,1029,0,3.34127,1239.199951,1274.420044,974.7189941,60.0996017,0.876164,108.2490005,0,0,0,0,63.982399,108.2490005,48.4556999,0,0,0,0,0,15,,
